,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
165,12/14/18,44775,66633,297078,1137,44
166,12/15/18,36423,57244,297119,1902,45
167,12/16/18,9835,13599,297131,203,4
168,12/17/18,45382,66449,297173,909,32
169,12/18/18,41703,58360,297205,656,22
170,12/19/18,44096,63165,297238,877,22
171,12/20/18,34026,48713,297269,751,20
172,12/21/18,23996,34450,297290,481,24
173,12/22/18,24870,36653,297327,1088,25
174,12/23/18,22230,35921,297355,1298,37
175,12/24/18,18990,27246,297387,681,18
176,12/25/18,11177,21483,297426,1080,38
177,12/26/18,25358,39176,297487,1118,49
178,12/27/18,31169,48943,297527,1510,51
179,12/28/18,12039,17576,297555,334,25
180,12/29/18,29037,54116,297622,2677,104
181,12/30/18,22536,37741,297682,1562,51
182,12/31/18,18936,29794,297748,962,31
183,7/1/18,45265,120484,274813,4209,211
184,7/2/18,58633,130122,275016,2702,241
185,7/3/18,54882,113998,275157,2358,199
186,7/4/18,48368,136287,275304,5662,250
187,7/5/18,59471,133659,275487,3344,264
188,7/6/18,49504,111660,275614,2650,189
189,7/7/18,60916,173852,275793,7284,349
190,7/8/18,60486,171826,275988,6667,310
191,7/9/18,70063,153650,276203,3103,283
192,7/10/18,72501,147441,276399,2999,227
193,7/11/18,73011,163349,276553,3049,170
194,7/12/18,74857,161182,276703,3520,231
195,7/13/18,72113,156285,276858,3998,294
196,7/14/18,62556,157266,277000,7241,334
197,7/15/18,52295,132234,277133,5121,248
198,7/16/18,67072,146307,277344,3101,278
199,7/17/18,48495,97913,277466,1558,129
200,7/18/18,75706,169481,277703,3578,247
201,7/19/18,78004,141327,277891,3938,280
202,7/20/18,74539,136511,278052,4590,275
203,7/21/18,53651,114977,278195,6266,309
204,7/22/18,44284,87253,278338,4316,244
205,7/23/18,53074,88170,278458,2277,152
206,7/24/18,69754,117924,278651,2957,162
207,7/25/18,42988,66587,278742,1474,124
208,7/26/18,71065,122885,278874,3321,252
209,7/27/18,49224,82987,278993,2526,251
210,7/28/18,61543,129505,279147,7004,361
211,7/29/18,63472,137343,279321,7244,250
212,7/30/18,69512,123639,279509,3490,333
213,7/31/18,76253,134233,279702,3637,246
214,8/1/18,64467,106881,279888,2673,185
215,8/2/18,69711,118282,280110,2998,217
216,8/3/18,61962,105765,280279,3145,247
217,8/4/18,51200,104541,280498,5352,198
218,8/5/18,58379,122656,280721,6289,309
219,8/6/18,65686,112585,280922,3022,281
220,8/7/18,64351,106678,281097,2640,201
221,8/8/18,70577,120473,281275,2911,267
222,8/9/18,71976,124150,281441,3379,238
223,8/10/18,69617,123534,281572,4266,280
224,8/11/18,36607,69505,281689,2994,141
225,8/12/18,59834,125265,281881,6407,281
226,8/13/18,44273,70501,281991,1563,82
227,8/14/18,63733,107144,282169,2592,211
228,8/15/18,73124,128453,282317,3565,266
229,8/16/18,70825,123444,282471,3511,276
230,8/17/18,63316,109405,282583,3563,232
231,8/18/18,57284,125508,282795,6672,351
232,8/19/18,45874,86651,282943,3926,155
233,8/20/18,67589,118793,283162,3312,224
234,8/21/18,75214,132261,283358,3683,257
235,8/22/18,72614,125978,283543,3366,225
236,8/23/18,73877,130310,283720,3975,331
237,8/24/18,72894,132952,283884,4794,320
238,8/25/18,64683,140537,284066,7535,345
239,8/26/18,60954,132223,284268,6928,302
240,8/27/18,67630,116967,284457,3350,242
241,8/28/18,66638,110486,284667,2814,150
242,8/29/18,65903,107006,284791,2766,171
243,8/30/18,67900,113385,284938,3218,164
244,8/31/18,58922,97818,285087,3186,180
245,9/1/18,54318,116904,285245,6711,439
246,9/2/18,60828,140923,285368,5562,292
247,9/3/18,55067,117164,285609,6239,279
248,9/4/18,68655,114264,285867,2793,215
249,9/5/18,74981,124919,286102,2934,191
250,9/6/18,70264,113123,286304,2678,207
251,9/7/18,74586,127470,286475,3523,227
252,9/8/18,58284,111254,286637,5442,270
253,9/9/18,19950,30544,286752,895,16
254,9/10/18,23949,32472,286847,463,26
255,9/11/18,66552,109380,286985,2456,193
256,9/12/18,53241,82748,287120,1650,115
257,9/13/18,74054,123401,287262,2874,197
258,9/14/18,74330,128288,287412,3623,298
259,9/15/18,71185,149524,287622,7570,353
260,9/16/18,69515,150281,287897,7410,270
261,9/17/18,71340,118809,288137,2914,162
262,9/18/18,53077,82768,288266,1433,74
263,9/19/18,74372,129089,288450,3529,290
264,9/20/18,76803,129385,288599,3130,235
265,9/21/18,74940,128273,288719,3677,224
266,9/22/18,69133,142121,289160,7511,298
267,9/23/18,55494,104944,289370,4716,184
268,9/24/18,71631,115888,289524,2615,289
269,9/25/18,25430,35795,289591,506,65
270,9/26/18,68007,110772,289698,2423,296
271,9/27/18,75370,126480,289829,3044,399
272,9/28/18,57230,90249,289911,1986,296
273,9/29/18,69321,145920,290170,6960,906
274,9/30/18,66224,139423,290467,6367,675
275,1/1/2018,5499,11483,253490,123,7
276,1/2/2018,18818,39352,253558,125,12
277,1/3/2018,24299,42853,253591,164,4
278,1/4/2018,1922,5328,253604,2,1
279,1/5/2018,4972,14303,253614,14,0
280,1/6/2018,4294,9479,253624,9,2
281,1/7/2018,5640,9387,253640,41,4
282,1/8/2018,15820,31294,253661,45,4
283,1/9/2018,25090,50981,253690,112,17
284,1/10/2018,28252,50218,253720,142,18
285,1/11/2018,33961,66584,253757,244,15
286,1/12/2018,22252,46403,253786,152,16
287,1/13/2018,17758,30418,253809,355,31
288,1/14/2018,12394,32949,253827,183,9
289,1/15/2018,17637,41770,253857,150,8
290,1/16/2018,30278,60053,253895,189,13
291,1/17/2018,19010,36319,253921,52,12
292,1/18/2018,27662,52573,253952,92,18
293,1/19/2018,30525,50322,253983,216,15
294,1/20/2018,28507,59336,254025,1044,41
295,1/21/2018,27908,61571,254092,1013,26
296,1/22/2018,36864,68638,254144,345,25
297,1/23/2018,28796,63693,254191,179,19
298,1/24/2018,36078,69596,254236,232,32
299,1/25/2018,31147,51927,254263,181,16
300,1/26/2018,33073,61857,254301,313,23
301,1/27/2018,34348,70146,254368,1415,41
302,1/28/2018,20100,38221,254415,334,22
303,1/29/2018,36799,68868,254466,274,33
304,1/30/2018,27996,59260,254492,114,15
305,1/31/2018,31276,54440,254539,141,19
306,2/1/2018,35561,66984,254590,212,27
307,2/2/2018,26313,50427,254620,129,18
308,2/3/2018,18385,40020,254640,263,23
309,2/4/2018,13959,35121,254670,224,7
310,2/5/2018,29068,56061,254725,193,21
311,2/6/2018,34102,68060,254760,160,18
312,2/7/2018,15289,31573,254781,30,4
313,2/8/2018,31563,60985,254806,168,20
314,2/9/2018,31567,57070,254833,223,25
315,2/10/2018,16323,37641,254857,343,26
316,2/11/2018,8809,21167,254877,85,2
317,2/12/2018,35138,68283,254922,339,40
318,2/13/2018,35189,69420,254968,252,31
319,2/14/2018,39591,80081,255002,408,39
320,2/15/2018,44193,88474,255044,501,28
321,2/16/2018,29191,57219,255088,316,37
322,2/17/2018,17921,38834,255118,537,51
